"Step","dual_agent_nyc_man_south_mode0 - combined/total_reward","dual_agent_nyc_man_south_mode0 - combined/total_reward__MIN","dual_agent_nyc_man_south_mode0 - combined/total_reward__MAX"
"0","15940.669279775782","15940.669279775782","15940.669279775782"
"16","16227.469178488183","16227.469178488183","16227.469178488183"
"21","16575.93607586858","16575.93607586858","16575.93607586858"
"25","16417.838542069047","16417.838542069047","16417.838542069047"
"48","16242.081762237765","16242.081762237765","16242.081762237765"
"58","16806.028478743487","16806.028478743487","16806.028478743487"
"59","15437.585876623378","15437.585876623378","15437.585876623378"
"63","15996.998132645136","15996.998132645136","15996.998132645136"
"72","16385.041365218116","16385.041365218116","16385.041365218116"
"77","17108.59609038184","17108.59609038184","17108.59609038184"
"102","15647.431464590969","15647.431464590969","15647.431464590969"
"118","16153.206698884449","16153.206698884449","16153.206698884449"
"148","15452.453805999558","15452.453805999558","15452.453805999558"
"150","16835.737005494506","16835.737005494506","16835.737005494506"
"153","16098.317039821291","16098.317039821291","16098.317039821291"
"154","15107.453701215454","15107.453701215454","15107.453701215454"
"162","15709.836119852373","15709.836119852373","15709.836119852373"
"163","16312.67527652903","16312.67527652903","16312.67527652903"
"166","16464.61302283827","16464.61302283827","16464.61302283827"
"175","17227.616592629594","17227.616592629594","17227.616592629594"
"184","15637.742360750362","15637.742360750362","15637.742360750362"
"192","15154.558175130427","15154.558175130427","15154.558175130427"
"224","16975.110644494394","16975.110644494394","16975.110644494394"
"249","15908.044465451218","15908.044465451218","15908.044465451218"
"258","15635.251632034633","15635.251632034633","15635.251632034633"
"265","15932.386669857924","15932.386669857924","15932.386669857924"
"277","16332.44367723943","16332.44367723943","16332.44367723943"
"280","16038.681402625154","16038.681402625154","16038.681402625154"
"291","17003.154003302254","17003.154003302254","17003.154003302254"
"294","16251.176248668","16251.176248668","16251.176248668"
"300","17200.722833277832","17200.722833277832","17200.722833277832"
"304","16518.470823260075","16518.470823260075","16518.470823260075"
"308","15945.083179181933","15945.083179181933","15945.083179181933"
"317","16191.996222693977","16191.996222693977","16191.996222693977"
"336","16637.915481102234","16637.915481102234","16637.915481102234"
"352","16232.422032634036","16232.422032634036","16232.422032634036"
"367","16341.193444139197","16341.193444139197","16341.193444139197"
"371","17031.512572788324","17031.512572788324","17031.512572788324"
"381","16355.59047785548","16355.59047785548","16355.59047785548"
"388","17105.60405927406","17105.60405927406","17105.60405927406"
"396","16647.500176517926","16647.500176517926","16647.500176517926"
"404","15314.981286879789","15314.981286879789","15314.981286879789"
"413","16829.595135780888","16829.595135780888","16829.595135780888"
"424","16033.336404845159","16033.336404845159","16033.336404845159"
"429","17207.153523865025","17207.153523865025","17207.153523865025"
"434","15615.92721173271","15615.92721173271","15615.92721173271"
"454","16974.8586986902","16974.8586986902","16974.8586986902"
"464","17298.433875430124","17298.433875430124","17298.433875430124"
"471","16016.659308413808","16016.659308413808","16016.659308413808"
"476","15862.365235902987","15862.365235902987","15862.365235902987"
"489","15667.366037823289","15667.366037823289","15667.366037823289"
"514","16232.191700188701","16232.191700188701","16232.191700188701"
"518","16482.097668636918","16482.097668636918","16482.097668636918"
"533","16413.238381840387","16413.238381840387","16413.238381840387"
"548","16199.277842601845","16199.277842601845","16199.277842601845"
"549","17435.292352092358","17435.292352092358","17435.292352092358"
"567","17275.470371073374","17275.470371073374","17275.470371073374"
"574","16319.584215201467","16319.584215201467","16319.584215201467"
"577","16885.612204073706","16885.612204073706","16885.612204073706"
"584","17240.7957480575","17240.7957480575","17240.7957480575"
"585","15981.98617923743","15981.98617923743","15981.98617923743"
"588","16504.415623626377","16504.415623626377","16504.415623626377"
"594","16976.442591075596","16976.442591075596","16976.442591075596"
"612","16228.17908078033","16228.17908078033","16228.17908078033"
"645","16892.842935508932","16892.842935508932","16892.842935508932"
"651","16235.034472166724","16235.034472166724","16235.034472166724"
"662","15492.477617049619","15492.477617049619","15492.477617049619"
"675","16045.97647005772","16045.97647005772","16045.97647005772"
"685","16423.22943159618","16423.22943159618","16423.22943159618"
"702","16547.459017038513","16547.459017038513","16547.459017038513"
"751","16953.60666799867","16953.60666799867","16953.60666799867"
"754","16450.262672882673","16450.262672882673","16450.262672882673"
"762","16845.295497197247","16845.295497197247","16845.295497197247"
"788","15960.244718392718","15960.244718392718","15960.244718392718"
"801","15622.248076812079","15622.248076812079","15622.248076812079"
"806","16692.493594544343","16692.493594544343","16692.493594544343"
"812","16040.342373404375","16040.342373404375","16040.342373404375"
"839","17423.070621045623","17423.070621045623","17423.070621045623"
"881","16265.395713397713","16265.395713397713","16265.395713397713"
"882","15808.704354451107","15808.704354451107","15808.704354451107"
"884","16863.611019758024","16863.611019758024","16863.611019758024"
"885","16078.827124514379","16078.827124514379","16078.827124514379"
"913","16676.698844211347","16676.698844211347","16676.698844211347"
"921","17009.856952464204","17009.856952464204","17009.856952464204"
"938","17077.464383560884","17077.464383560884","17077.464383560884"
"947","16734.95266147741","16734.95266147741","16734.95266147741"
