"Step","dual_agent_nyc_man_south_no_info_mode0 - combined/total_reward","dual_agent_nyc_man_south_no_info_mode0 - combined/total_reward__MIN","dual_agent_nyc_man_south_no_info_mode0 - combined/total_reward__MAX"
"0","17154.75418725719","17154.75418725719","17154.75418725719"
"16","16962.395174131423","16962.395174131423","16962.395174131423"
"21","15797.696773643027","15797.696773643027","15797.696773643027"
"25","16884.315038100787","16884.315038100787","16884.315038100787"
"48","17286.412302919307","17286.412302919307","17286.412302919307"
"58","16197.281271423024","16197.281271423024","16197.281271423024"
"59","15734.4207477245","15734.4207477245","15734.4207477245"
"63","15668.86223926074","15668.86223926074","15668.86223926074"
"72","15719.397254218005","15719.397254218005","15719.397254218005"
"77","15844.60804009879","15844.60804009879","15844.60804009879"
"102","15540.283232184483","15540.283232184483","15540.283232184483"
"118","15208.621784770787","15208.621784770787","15208.621784770787"
"148","16034.56465870241","16034.56465870241","16034.56465870241"
"150","16900.217222305473","16900.217222305473","16900.217222305473"
"153","16137.382681401936","16137.382681401936","16137.382681401936"
"154","15611.567838966592","15611.567838966592","15611.567838966592"
"162","16392.939226329225","16392.939226329225","16392.939226329225"
"163","16926.757775030528","16926.757775030528","16926.757775030528"
"166","16869.486284410035","16869.486284410035","16869.486284410035"
"175","16029.252897435897","16029.252897435897","16029.252897435897"
"184","16320.984140054396","16320.984140054396","16320.984140054396"
"192","14885.465400682653","14885.465400682653","14885.465400682653"
"224","16517.568425907426","16517.568425907426","16517.568425907426"
"249","15978.70748790099","15978.70748790099","15978.70748790099"
"258","16294.553432345434","16294.553432345434","16294.553432345434"
"265","15764.728090326342","15764.728090326342","15764.728090326342"
"277","16152.620013569765","16152.620013569765","16152.620013569765"
"280","15946.411679126431","15946.411679126431","15946.411679126431"
"291","15377.300512737262","15377.300512737262","15377.300512737262"
"294","15804.691709401712","15804.691709401712","15804.691709401712"
"300","17526.571556304807","17526.571556304807","17526.571556304807"
"304","16689.87187695638","16689.87187695638","16689.87187695638"
"308","16957.180553280057","16957.180553280057","16957.180553280057"
"317","15916.530514846268","15916.530514846268","15916.530514846268"
"336","16780.93428463204","16780.93428463204","16780.93428463204"
"352","15999.030983155735","15999.030983155735","15999.030983155735"
"367","16011.530167193916","16011.530167193916","16011.530167193916"
"371","16552.838385780888","16552.838385780888","16552.838385780888"
"381","16364.953806193807","16364.953806193807","16364.953806193807"
"388","16435.42814008214","16435.42814008214","16435.42814008214"
"396","16269.0613518981","16269.0613518981","16269.0613518981"
"404","16407.583412087915","16407.583412087915","16407.583412087915"
"413","17017.113983044736","17017.113983044736","17017.113983044736"
"424","15489.742625735376","15489.742625735376","15489.742625735376"
"429","17199.124181290936","17199.124181290936","17199.124181290936"
"434","15792.16096237096","15792.16096237096","15792.16096237096"
"454","16811.379698024197","16811.379698024197","16811.379698024197"
"464","17122.525485458984","17122.525485458984","17122.525485458984"
"471","16574.928027528033","16574.928027528033","16574.928027528033"
"476","15239.360358807862","15239.360358807862","15239.360358807862"
"489","16022.538935786435","16022.538935786435","16022.538935786435"
"514","16202.298485819736","16202.298485819736","16202.298485819736"
"518","16071.343387529138","16071.343387529138","16071.343387529138"
"533","16949.79649025974","16949.79649025974","16949.79649025974"
"548","15786.615014901767","15786.615014901767","15786.615014901767"
"549","15940.987282384285","15940.987282384285","15940.987282384285"
"567","16153.081918664671","16153.081918664671","16153.081918664671"
"574","15770.833197191698","15770.833197191698","15770.833197191698"
"577","16040.218891996894","16040.218891996894","16040.218891996894"
"584","16149.696442196697","16149.696442196697","16149.696442196697"
"585","16093.38858968809","16093.38858968809","16093.38858968809"
"588","17153.958959235213","17153.958959235213","17153.958959235213"
"594","16938.57745573871","16938.57745573871","16938.57745573871"
"612","16120.66533608059","16120.66533608059","16120.66533608059"
"645","15256.364326784327","15256.364326784327","15256.364326784327"
"651","15712.400825563327","15712.400825563327","15712.400825563327"
"662","15422.950122682872","15422.950122682872","15422.950122682872"
"675","16399.00335003885","16399.00335003885","16399.00335003885"
"685","17654.434592241094","17654.434592241094","17654.434592241094"
"702","17873.53570895771","17873.53570895771","17873.53570895771"
"751","16773.43811252636","16773.43811252636","16773.43811252636"
"754","16797.75589896215","16797.75589896215","16797.75589896215"
"762","17210.265023060274","17210.265023060274","17210.265023060274"
"788","16203.760341353092","16203.760341353092","16203.760341353092"
"801","16001.365733349985","16001.365733349985","16001.365733349985"
"806","16398.285421606175","16398.285421606175","16398.285421606175"
"812","16603.949842352093","16603.949842352093","16603.949842352093"
"839","17102.264832140085","17102.264832140085","17102.264832140085"
"881","16696.452429265177","16696.452429265177","16696.452429265177"
"882","16162.013184842937","16162.013184842937","16162.013184842937"
"884","16617.004032550783","16617.004032550783","16617.004032550783"
"885","16294.51789246864","16294.51789246864","16294.51789246864"
"913","15545.202662171165","15545.202662171165","15545.202662171165"
"921","16326.86008624709","16326.86008624709","16326.86008624709"
"938","16503.31900613276","16503.31900613276","16503.31900613276"
"947","17122.8491982462","17122.8491982462","17122.8491982462"
"961","16105.593339549341","16105.593339549341","16105.593339549341"
"962","16587.0772977023","16587.0772977023","16587.0772977023"
"964","17010.15782917083","17010.15782917083","17010.15782917083"
"971","16741.538452935958","16741.538452935958","16741.538452935958"
"975","17404.188606171607","17404.188606171607","17404.188606171607"
"990","16492.76155871906","16492.76155871906","16492.76155871906"
"996","16581.89875577201","16581.89875577201","16581.89875577201"
"997","16244.681882228884","16244.681882228884","16244.681882228884"
"1000","16454.2887527195","16454.2887527195","16454.2887527195"
"1010","16264.144128482629","16264.144128482629","16264.144128482629"
"1020","16920.311981157734","16920.311981157734","16920.311981157734"
"1025","17085.929344044845","17085.929344044845","17085.929344044845"
"1049","16613.068066211566","16613.068066211566","16613.068066211566"
"1066","16859.436566239314","16859.436566239314","16859.436566239314"
"1074","17352.50259537685","17352.50259537685","17352.50259537685"
"1084","17000.77236111111","17000.77236111111","17000.77236111111"
"1103","16310.463887584638","16310.463887584638","16310.463887584638"
"1112","15915.616161005662","15915.616161005662","15915.616161005662"
"1128","16195.319800893554","16195.319800893554","16195.319800893554"
"1130","16428.122564518817","16428.122564518817","16428.122564518817"
"1136","16313.175773781775","16313.175773781775","16313.175773781775"
"1163","16346.073940170942","16346.073940170942","16346.073940170942"
"1164","16277.379943473197","16277.379943473197","16277.379943473197"
"1167","16322.48002877678","16322.48002877678","16322.48002877678"
"1182","16143.005544566548","16143.005544566548","16143.005544566548"
"1211","17114.351132423137","17114.351132423137","17114.351132423137"
"1216","16135.629272172273","16135.629272172273","16135.629272172273"
"1224","16213.79203785104","16213.79203785104","16213.79203785104"
"1232","16549.067952658454","16549.067952658454","16549.067952658454"
"1238","17135.195861666114","17135.195861666114","17135.195861666114"
"1252","16896.68469416695","16896.68469416695","16896.68469416695"
"1268","17524.48612831613","17524.48612831613","17524.48612831613"
"1271","16426.953261627263","16426.953261627263","16426.953261627263"
"1273","16987.414018342773","16987.414018342773","16987.414018342773"
"1301","17085.03086913087","17085.03086913087","17085.03086913087"
"1325","17269.13771031746","17269.13771031746","17269.13771031746"
"1326","17458.171546231548","17458.171546231548","17458.171546231548"
"1350","16581.448416971918","16581.448416971918","16581.448416971918"
"1351","16962.295883144638","16962.295883144638","16962.295883144638"
"1362","16618.113684093685","16618.113684093685","16618.113684093685"
"1364","17336.49168614719","17336.49168614719","17336.49168614719"
"1366","15656.788908841161","15656.788908841161","15656.788908841161"
"1373","16265.185894549897","16265.185894549897","16265.185894549897"
"1403","17612.05767904318","17612.05767904318","17612.05767904318"
"1408","17161.193033189036","17161.193033189036","17161.193033189036"
"1424","17475.68922899323","17475.68922899323","17475.68922899323"
"1428","16959.991664058165","16959.991664058165","16959.991664058165"
"1446","17912.635207847707","17912.635207847707","17912.635207847707"
"1447","15486.951884143637","15486.951884143637","15486.951884143637"
"1448","16790.103705988462","16790.103705988462","16790.103705988462"
"1464","16628.13758097458","16628.13758097458","16628.13758097458"
"1465","17647.397153873906","17647.397153873906","17647.397153873906"
"1470","16997.593957070712","16997.593957070712","16997.593957070712"
"1472","17942.10496234321","17942.10496234321","17942.10496234321"
"1486","16923.884319652574","16923.884319652574","16923.884319652574"
"1487","17333.19183782884","17333.19183782884","17333.19183782884"
"1494","16901.452319347318","16901.452319347318","16901.452319347318"
"1501","15974.955904789655","15974.955904789655","15974.955904789655"
"1507","16835.33892449218","16835.33892449218","16835.33892449218"
"1511","17072.446032245534","17072.446032245534","17072.446032245534"
"1512","16473.737882783884","16473.737882783884","16473.737882783884"
"1531","16953.29207559108","16953.29207559108","16953.29207559108"
"1540","16056.054597236096","16056.054597236096","16056.054597236096"
"1541","16874.94435048285","16874.94435048285","16874.94435048285"
"1551","16685.083315268064","16685.083315268064","16685.083315268064"
"1574","16943.057582001336","16943.057582001336","16943.057582001336"
"1576","17173.396659701415","17173.396659701415","17173.396659701415"
"1589","16836.09814824065","16836.09814824065","16836.09814824065"
"1598","16312.770105366857","16312.770105366857","16312.770105366857"
"1600","17361.31655799756","17361.31655799756","17361.31655799756"
"1613","16353.07406060606","16353.07406060606","16353.07406060606"
"1650","16661.092515401266","16661.092515401266","16661.092515401266"
"1657","17062.673432650685","17062.673432650685","17062.673432650685"
"1665","16615.208057081807","16615.208057081807","16615.208057081807"
"1686","17548.40563833389","17548.40563833389","17548.40563833389"
"1700","17183.640255217004","17183.640255217004","17183.640255217004"
"1702","16831.850900016652","16831.850900016652","16831.850900016652"
"1709","16724.40033050283","16724.40033050283","16724.40033050283"
"1714","17027.84869200244","17027.84869200244","17027.84869200244"
"1716","17489.22882908758","17489.22882908758","17489.22882908758"
"1718","16404.01674947275","16404.01674947275","16404.01674947275"
"1732","17046.38101340327","17046.38101340327","17046.38101340327"
"1741","16453.012715506717","16453.012715506717","16453.012715506717"
"1752","16978.945133616387","16978.945133616387","16978.945133616387"
"1760","16808.631823842825","16808.631823842825","16808.631823842825"
"1773","17191.74418206793","17191.74418206793","17191.74418206793"
"1782","16902.055194194698","16902.055194194698","16902.055194194698"
"1792","15944.342052114556","15944.342052114556","15944.342052114556"
"1796","17316.982603424356","17316.982603424356","17316.982603424356"
"1800","17443.152050227553","17443.152050227553","17443.152050227553"
"1803","17271.81496717172","17271.81496717172","17271.81496717172"
"1810","17567.67546836497","17567.67546836497","17567.67546836497"
"1814","16023.564251498505","16023.564251498505","16023.564251498505"
"1821","17577.07772852148","17577.07772852148","17577.07772852148"
"1822","16824.92808263958","16824.92808263958","16824.92808263958"
"1828","16511.30403712954","16511.30403712954","16511.30403712954"
"1830","16816.005633172383","16816.005633172383","16816.005633172383"
"1832","16854.959567626818","16854.959567626818","16854.959567626818"
"1833","17126.66488566989","17126.66488566989","17126.66488566989"
"1836","16864.077503940505","16864.077503940505","16864.077503940505"
"1843","16792.416613053618","16792.416613053618","16792.416613053618"
"1846","17192.281736208235","17192.281736208235","17192.281736208235"
"1859","16855.26308694084","16855.26308694084","16855.26308694084"
"1861","16859.602514263515","16859.602514263515","16859.602514263515"
"1878","16974.239811882566","16974.239811882566","16974.239811882566"
"1893","17504.604101232107","17504.604101232107","17504.604101232107"
"1897","17129.872714146964","17129.872714146964","17129.872714146964"
"1933","17000.83640750916","17000.83640750916","17000.83640750916"
"1944","17835.395378704634","17835.395378704634","17835.395378704634"
"1951","17568.853408452662","17568.853408452662","17568.853408452662"
"1956","17271.466815184816","17271.466815184816","17271.466815184816"
"1959","17635.484852841604","17635.484852841604","17635.484852841604"
"1985","17789.670794372294","17789.670794372294","17789.670794372294"
"1991","17195.94689188589","17195.94689188589","17195.94689188589"
"2006","17036.801611610612","17036.801611610612","17036.801611610612"
"2014","16486.68096775447","16486.68096775447","16486.68096775447"
"2016","17113.69520848596","17113.69520848596","17113.69520848596"
"2028","16945.92364901765","16945.92364901765","16945.92364901765"
"2034","16672.87551012876","16672.87551012876","16672.87551012876"
"2039","17272.14733308358","17272.14733308358","17272.14733308358"
"2049","18063.673401431904","18063.673401431904","18063.673401431904"
"2067","16808.000372127877","16808.000372127877","16808.000372127877"
"2068","16705.12494594295","16705.12494594295","16705.12494594295"
"2090","17552.251493478747","17552.251493478747","17552.251493478747"
"2098","16870.31950291375","16870.31950291375","16870.31950291375"
"2105","17094.126788045287","17094.126788045287","17094.126788045287"
"2110","16851.279235930735","16851.279235930735","16851.279235930735"
"2131","17379.049100704855","17379.049100704855","17379.049100704855"
"2135","17646.018106032858","17646.018106032858","17646.018106032858"
"2141","17003.559454906208","17003.559454906208","17003.559454906208"
"2143","16484.378641608393","16484.378641608393","16484.378641608393"
"2152","17365.668043123544","17365.668043123544","17365.668043123544"
"2164","17610.72631388057","17610.72631388057","17610.72631388057"
"2171","17281.300879981132","17281.300879981132","17281.300879981132"
"2184","16727.716465562215","16727.716465562215","16727.716465562215"
"2187","17345.6273491231","17345.6273491231","17345.6273491231"
"2189","16837.28023956599","16837.28023956599","16837.28023956599"
"2192","16491.331921411926","16491.331921411926","16491.331921411926"
