Metric	Mode 2
Total Reward	17685.7 (270.9)
Reward Agent 0	8815.3 (221.2)
Reward Agent 1	8870.4 (242.2)
Total Rebalancing Costs	1379.7 (97.0)
Rebalancing Costs Agent 0	708.8 (81.1)
Rebalancing Costs Agent 1	671.0 (71.2)
Total Rebalance Trips	286.2 (22.3)
Rebalance Trips Agent 0	148.2 (19.2)
Rebalance Trips Agent 1	138.0 (15.8)
Total Served Demand	3572.5 (31.1)
Served Demand Agent 0	1781.1 (23.0)
Served Demand Agent 1	1791.4 (28.4)
Price Agent 0	0.97 (0.00)
Price Agent 1	0.97 (0.00)
Wait/mins Agent 0	1.43 (0.07)
Wait/mins Agent 1	1.45 (0.08)
Queue Agent 0	10.3 (1.3)
Queue Agent 1	9.98 (1.24)
Total Arrivals	5151.0 (61.4)
Arrivals Agent 0	2568.0 (60.4)
Arrivals Agent 1	2583.0 (40.0)
Avg Wage	22.8 (0.0)
